participant_id,GM_mm3,WM_mm3,CSF_mm3,TIV_mm3,TIV_mL,status
sub-ON94110,659480.40762845,443151.0262075,398880.274569765,1501511.70840571,1501.51170840571,OK
sub-ON94131,695232.609742798,485771.146375069,451717.391419988,1632721.14753786,1632.72114753786,OK
sub-ON95214,821641.668198893,505032.551435737,284558.526632423,1611232.74626705,1611.23274626705,OK
sub-ON95520,739587.800601213,501391.849259646,338410.957268181,1579390.60712904,1579.39060712904,OK
sub-ON96240,656396.329014688,396466.376387794,326448.207541108,1379310.91294359,1379.31091294359,OK
sub-ON96252,695102.727382176,392541.101645853,207314.255397609,1294958.08442564,1294.95808442564,OK
sub-ON96353,619887.350384996,375702.237904922,240525.414224428,1236115.00251435,1236.11500251435,OK
sub-ON96440,680783.620653006,402612.576751274,256133.073970978,1339529.27137526,1339.52927137526,OK
sub-ON96510,682940.691368808,449052.250085904,300463.860906381,1432456.80236109,1432.45680236109,OK
sub-ON96530,744895.875424931,517740.312971575,287946.530754354,1550582.71915086,1550.58271915086,OK
sub-ON96555,680017.624529274,424187.264301688,333336.513830828,1437541.40266179,1437.54140266179,OK
sub-ON96602,724338.834993523,433740.711925493,208181.333880259,1366260.88079927,1366.26088079927,OK
sub-ON97427,759753.335127116,507643.284923467,317519.152111092,1584915.77216167,1584.91577216167,OK
sub-ON97503,637620.316139588,457861.395704907,295285.990011932,1390767.70185643,1390.76770185643,OK
sub-ON97515,649688.799206247,434956.249252281,184979.740351278,1269624.78880981,1269.62478880981,OK
sub-ON97526,606768.110393451,342918.737926923,293298.876168926,1242985.7244893,1242.9857244893,OK
sub-ON97604,765896.947255149,481430.510824251,449413.689322965,1696741.14740236,1696.74114740236,OK
sub-ON97654,738063.537765972,476214.263456943,250118.908909424,1464396.71013234,1464.39671013234,OK
sub-ON97765,683309.997273001,451850.309074908,231875.70783054,1367036.01417845,1367.03601417845,OK
sub-ON98130,656361.760385192,397486.494095181,114225.030284564,1168073.28476494,1168.07328476494,OK
sub-ON98175,655170.219138255,424000.652525946,210164.055566143,1289334.92723034,1289.33492723034,OK
sub-ON98362,698907.284469919,520638.454319439,287962.401343528,1507508.14013289,1507.50814013289,OK
sub-ON98502,663115.329412043,465646.505969232,388618.536707994,1517380.37208927,1517.38037208927,OK
sub-ON98664,892775.115542908,507257.979018327,357187.993672753,1757221.08823399,1757.22108823399,OK
sub-ON98745,695323.484257977,404205.945472955,234018.284427838,1333547.71415877,1333.54771415877,OK
sub-ON98826,706006.54363607,459642.065508802,239099.649024364,1404748.25816924,1404.74825816924,OK
sub-ON99547,801429.435631013,512724.547969066,293047.601644262,1607201.58524434,1607.20158524434,OK
sub-ON99633,673173.231967641,366115.041259513,229448.335137968,1268736.60836512,1268.73660836512,OK
sub-ON99703,775308.771341166,518726.211069096,332219.094156902,1626254.07656716,1626.25407656716,OK
sub-ON99731,606834.259416971,530636.725498962,982828.701260742,2120299.68617667,2120.29968617667,OK
