participant_id,GM_mm3,WM_mm3,CSF_mm3,TIV_mm3,TIV_mL,status
sub-ON01802,733770.063002256,524065.48197309,383346.042278537,1641181.58725388,1641.18158725388,OK
sub-ON04111,664753.451077547,414080.824488318,219081.930603341,1297916.20616921,1297.91620616921,OK
sub-ON06421,647502.277508311,407433.180957928,321994.697473811,1376930.15594005,1376.93015594005,OK
sub-ON08710,605630.541698725,423374.726998734,205796.604327464,1234801.87302492,1234.80187302492,OK
sub-ON08760,726156.513532391,476727.37329121,270075.380677865,1472959.26750147,1472.95926750147,OK
sub-ON09540,590985.062401234,379869.473445485,325629.08200247,1296483.61784919,1296.48361784919,OK
sub-ON09681,731386.78050837,484282.212953682,272913.086728037,1488582.08019009,1488.58208019009,OK
sub-ON09760,642540.406626635,428121.691985347,278632.177262336,1349294.27587432,1349.29427587432,OK
sub-ON09766,845482.504902934,523066.195639484,292726.401625266,1661275.10216768,1661.27510216768,OK
sub-ON33221,654876.93676797,385255.556116954,369275.708113099,1409408.20099802,1409.40820099802,OK
sub-ON39384,683841.573775026,437873.021973795,294084.135038895,1415798.73078772,1415.79873078772,OK
sub-ON43210,978093.999019952,614536.146146962,236493.437515392,1829123.58268231,1829.12358268231,OK
sub-ON51111,798107.090336494,461978.062615029,234210.551105875,1494295.7040574,1494.2957040574,OK
sub-ON52220,704805.473054026,377948.379214227,179387.810608812,1262141.66287706,1262.14166287706,OK
sub-ON53213,761987.558788657,564665.033393714,475023.933974784,1801676.52615716,1801.67652615716,OK
sub-ON62200,769035.582734882,377241.881133229,216115.271604366,1362392.73547248,1362.39273547248,OK
sub-ON63221,713185.395118233,489877.821127737,321986.0347282,1525049.25097417,1525.04925097417,OK
sub-ON64410,718126.579724175,431921.74319047,302789.586534118,1452837.90944876,1452.83790944876,OK
sub-ON65232,711533.802863697,537858.459259381,349733.946173105,1599126.20829618,1599.12620829618,OK
sub-ON65403,751548.624837976,544973.51066055,370045.041491929,1666567.17699046,1666.56717699046,OK
sub-ON65412,893679.186184609,516576.136432139,177284.332053042,1587539.65466979,1587.53965466979,OK
sub-ON66243,687168.915148273,451257.007079036,279150.996900862,1417576.91912817,1417.57691912817,OK
sub-ON66401,734018.545369892,409859.549728872,240530.810303178,1384408.90540194,1384.40890540194,OK
sub-ON66452,712891.10882632,488214.283774456,390532.983880036,1591638.37648081,1591.63837648081,OK
sub-ON73200,672518.839772078,438330.8180793,396467.721485912,1507317.37933729,1507.31737933729,OK
sub-ON74320,740286.937897461,480157.475454847,302764.178689478,1523208.59204179,1523.20859204179,OK
sub-ON75100,773974.598713245,523430.26624925,400687.113892306,1698091.9788548,1698.0919788548,OK
sub-ON75413,814209.593249564,505455.229892107,297448.217590784,1617113.04073245,1617.11304073245,OK
sub-ON76144,699684.449221762,466864.227609874,293028.233015665,1459576.9098473,1459.5769098473,OK
sub-ON76320,831382.382500439,522103.517151179,283707.805013484,1637193.7046651,1637.1937046651,OK
